ID,Specimen,CollectionID,AccessionNumber,EditDate,EditUser,RecordCreationDate
1677,BXR0295,2,091830,2017-11-07 14:01:31.023,NA,2017-11-07 14:01:31.023
1678,BXR0296,2,091831,2017-11-07 14:01:31.247,NA,2017-11-07 14:01:31.247
1679,JWG0014,2,054875,2017-11-07 14:01:31.5,NA,2017-11-07 14:01:31.5
1680,BXR0286,2,091821,2017-11-07 14:01:31.723,NA,2017-11-07 14:01:31.723
1681,BXR0264,2,091799,2017-11-07 14:01:31.947,NA,2017-11-07 14:01:31.947
1682,BXR0253,2,091788,2017-11-07 14:01:32.17,NA,2017-11-07 14:01:32.17
1683,BXR0254,2,091789,2017-11-07 14:01:32.4,NA,2017-11-07 14:01:32.4
1684,BXR0255,2,091790,2017-11-07 14:01:32.62,NA,2017-11-07 14:01:32.62
1685,BXR0256,2,091791,2017-11-07 14:01:32.843,NA,2017-11-07 14:01:32.843
1686,BXR0257,2,091792,2017-11-07 14:01:33.06,NA,2017-11-07 14:01:33.06
1687,BXR0258,2,091793,2017-11-07 14:01:33.283,NA,2017-11-07 14:01:33.283
1688,BXR0259,2,091794,2017-11-07 14:01:33.51,NA,2017-11-07 14:01:33.51
1689,BXR0260,2,091795,2017-11-07 14:01:33.73,NA,2017-11-07 14:01:33.73
1690,BXR0261,2,091796,2017-11-07 14:01:33.95,NA,2017-11-07 14:01:33.95
1691,BXR0276,2,091811,2017-11-07 14:01:34.173,NA,2017-11-07 14:01:34.173
1692,BXR0263,2,091798,2017-11-07 14:01:34.393,NA,2017-11-07 14:01:34.393
1693,BXR0275,2,091810,2017-11-07 14:01:34.6,NA,2017-11-07 14:01:34.6
1694,BXR0265,2,091800,2017-11-07 14:01:34.823,NA,2017-11-07 14:01:34.823
1695,BXR0266,2,091801,2017-11-07 14:01:35.043,NA,2017-11-07 14:01:35.043
1696,BXR0267,2,091802,2017-11-07 14:01:35.267,NA,2017-11-07 14:01:35.267
1697,BXR0268,2,091803,2017-11-07 14:01:35.503,NA,2017-11-07 14:01:35.503
1698,BXR0269,2,091804,2017-11-07 14:01:35.727,NA,2017-11-07 14:01:35.727
1699,BXR0270,2,091805,2017-11-07 14:01:35.963,NA,2017-11-07 14:01:35.963
1700,BXR0271,2,091806,2017-11-07 14:01:36.187,NA,2017-11-07 14:01:36.187
1701,BXR0272,2,091807,2017-11-07 14:01:36.407,NA,2017-11-07 14:01:36.407
1702,BXR0273,2,091808,2017-11-07 14:01:36.623,NA,2017-11-07 14:01:36.623
1703,BXR0299,2,091834,2017-11-07 14:01:36.85,NA,2017-11-07 14:01:36.85
1704,BXR0262,2,091797,2017-11-07 14:01:37.07,NA,2017-11-07 14:01:37.07
1705,BAH0076,2,095800,2017-11-07 14:01:37.3,NA,2017-11-07 14:01:37.3
1706,SFC0085,2,092045,2017-11-07 14:01:37.523,NA,2017-11-07 14:01:37.523
