ID,Specimen,Age,IsAnalysisQuality,EstimationMethod,AgeReader1,ReaderID1,AgeReader2,ReaderID2,AgeReader3,ReaderID3,AgeReader4,ReaderID4,EditDate,EditUser,RecordCreationDate
11885,TCF0070,14.67,Y,Mean                ,14.67,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11886,TCF0081,20,Y,Mean                ,20,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11887,TCF0085,18.5,Y,Mean                ,18.5,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11888,TCF0090,24,Y,Mean                ,27,6,21,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11889,TCF0094,9,Y,Mean                ,9,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11890,TCF0095,3.9,Y,Mean                ,3.5,6,4.3,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11891,TCF0096,3.95,Y,Mean                ,4.1,6,3.8,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11892,TCF0098,6,Y,Mean                ,6,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11893,TCF0099,3.3,Y,NA,3.3,15,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11894,TCF0100,6.3,Y,NA,6.3,15,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11895,TCF0101,4.5,Y,NA,4.5,15,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11896,TCF0102,3.5,Y,NA,3.5,15,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11897,TCF0106,11,Y,Mean                ,11.5,6,10.5,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11898,TCF0121,8.5,Y,Mean                ,9,6,8,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11899,TCF0125,24.67,Y,Mean                ,24.67,6,NA,NA,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11900,TCF0130,17.13,Y,Mean                ,17.75,6,16.5,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11901,TCF0132,25.25,Y,Mean                ,35.5,6,15,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11902,TCF0133,11.65,Y,Mean                ,12,6,11.3,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11903,TCF0134,3.15,Y,Mean                ,2.8,6,3.5,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11904,TCF0136,8.67,Y,Mean                ,9.33,6,8,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11905,TCF0138,23.54,Y,Mean                ,28.75,6,18.33,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11906,TCF0141,0.57,Y,Mean                ,0.4,6,0.75,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11907,TCF0148,3.25,Y,Mean                ,3,6,3.5,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11908,TCF0150,13.5,Y,Mean                ,14,6,13,18,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
11909,TCF0156,1.5,Y,Mean                ,1.3,6,1.7,9,NA,NA,NA,NA,2016-02-03 10:49:43.103,Susan.Chivers,2014-05-14
